,Montfort,Cultural,Transportation,Maintenance,Camille,Mother Teresa,OLR,Notre Dame,FHV,Holy Family,Holy Trinity,Maryview,St. Dominic,St. Elizabeth,St. Francis,St. Gabriel,St. Gregory,St. Joseph,St. Marguerite,St. Martin,St. Matthew,St. Patrick,St. Teresa,St. Thomas
Montfort,0.0,5.2,10.7,3.0,3.0,24.0,21.2,8.0,4.3,7.2,66.0,5.1,82.7,6.1,9.0,2.7,13.9,5.4,34.1,4.1,83.5,1.8,3.6,5.2
Cultural,5.2,0.0,6.4,2.6,2.6,30.0,27.2,2.9,4.5,2.1,65.0,0.0,88.7,1.9,3.9,2.8,17.9,5.5,33.2,4.8,89.5,6.1,8.0,0.0
Transportation,10.7,6.4,0.0,8.2,8.2,34.8,32.0,6.6,10.9,7.6,59.9,6.3,93.5,5.4,6.3,7.9,29.6,11.9,28.1,11.1,94.3,11.6,18.8,6.5
Maintenance,3.0,2.6,8.2,0.0,0.0,26.2,23.4,5.4,5.4,4.6,66.9,2.5,84.8,3.7,6.4,1.9,15.8,6.4,35.0,4.0,85.7,4.0,5.9,2.6
Camille,3.0,2.6,8.2,0.0,0.0,26.2,23.4,5.4,5.4,4.6,66.9,2.5,84.8,3.7,6.4,1.9,15.8,6.4,35.0,4.0,85.7,4.0,5.9,2.6
Mother Teresa,24.0,30.0,34.8,26.2,26.2,0.0,3.0,30.8,26.7,30.9,73.4,29.6,63.7,29.2,34.3,26.1,36.2,27.8,41.8,26.8,64.5,22.9,25.0,29.7
OLR,21.3,26.9,32.2,23.8,23.8,3.0,0.0,28.1,23.9,28.1,73.8,26.8,67.3,26.4,31.4,23.3,28.6,25.0,42.0,24.0,68.1,20.2,22.3,26.9
Notre Dame,9.1,3.1,6.6,5.7,5.7,31.5,28.7,0.0,5.0,1.1,65.2,3.2,90.2,1.9,0.9,5.3,21.2,6.0,33.4,6.4,91.0,9.4,11.3,3.0
FHV,4.2,4.6,11.0,5.5,5.5,26.7,23.9,5.0,0.0,4.2,69.7,4.7,85.4,5.8,6.0,5.8,16.0,2.0,37.8,7.4,86.2,5.2,6.1,4.6
Holy Family,8.4,2.1,7.6,4.6,4.6,31.3,28.5,1.1,4.0,0.0,66.3,2.1,90.0,2.4,1.6,5.1,20.2,5.0,34.4,6.1,90.8,8.1,10.3,2.0
Holy Trinity,74.3,68.7,63.4,70.6,70.6,78.1,78.6,68.9,77.0,70.0,0.0,68.6,119.0,67.7,68.6,67.4,86.1,78.1,38.4,67.0,120.0,73.2,75.3,68.8
Maryview,6.1,0.0,6.3,2.5,2.5,29.9,27.1,2.9,4.5,2.1,64.9,0.0,88.6,1.8,3.9,2.7,17.9,5.5,33.1,4.8,89.4,6.0,8.0,0.0
St. Dominic,82.7,88.3,93.6,85.2,85.2,63.7,67.4,89.5,85.3,89.5,119.0,88.2,0.0,87.8,92.9,84.7,88.3,86.4,100.0,85.5,1.3,81.6,83.7,88.3
St. Elizabeth,7.4,1.9,5.3,3.7,3.7,29.6,26.8,2.5,5.8,2.5,63.9,1.8,88.3,0.0,2.7,3.4,24.4,6.7,32.1,4.4,89.1,7.5,9.7,1.9
St. Francis,10.2,3.8,6.3,6.4,6.4,33.2,30.5,0.9,5.8,1.6,64.9,3.9,91.9,2.7,0.0,6.1,21.9,6.8,33.1,7.1,92.7,10.1,12.0,3.8
St. Gabriel,3.8,2.7,7.9,1.9,1.9,25.7,23.0,5.1,5.1,4.7,63.9,2.6,84.4,3.4,6.1,0.0,15.5,6.2,34.5,2.2,85.2,3.8,5.6,2.7
St. Gregory,13.9,18.1,30.5,15.9,15.9,35.7,28.4,20.9,16.0,20.1,82.5,18.0,88.2,24.7,21.9,15.7,0.0,17.1,50.7,22.4,89.1,14.8,12.5,18.2
St. Joseph,4.9,5.2,11.6,6.1,6.1,27.4,24.6,5.5,1.7,4.7,70.2,5.2,86.1,6.3,6.5,6.3,16.7,0.0,38.4,8.1,86.9,5.9,6.8,5.1
St. Marguerite,39.1,33.5,28.2,35.4,35.4,41.6,42.1,33.7,41.8,34.8,33.8,33.5,100.0,32.5,33.4,32.3,50.9,42.9,0.0,32.5,101.0,38.0,40.1,33.6
St. Martin,4.9,4.1,8.6,4.0,4.0,27.2,24.4,6.1,6.9,6.2,64.1,4.1,85.9,4.4,7.1,2.2,22.0,8.0,32.2,0.0,86.7,4.4,6.6,4.2
St. Matthew,83.5,89.1,94.4,86.1,86.1,64.5,68.2,90.3,86.2,90.4,120.0,89.0,1.3,88.6,93.7,85.6,99.3,87.3,101.0,86.3,0.0,82.4,84.5,89.2
St. Patrick,1.8,6.2,17.5,4.0,4.0,22.4,19.6,10.1,5.2,9.3,69.5,6.1,81.1,7.5,11.1,4.2,17.3,6.3,37.7,4.4,81.9,0.0,2.7,6.3
St. Teresa,3.6,8.2,20.1,6.0,6.0,25.0,22.2,11.0,6.1,10.2,72.1,8.1,83.7,9.4,12.0,5.8,12.6,7.2,40.3,6.9,84.5,3.0,0.0,8.3
St. Thomas,6.3,0.0,6.5,2.6,2.6,30.0,27.3,2.8,4.4,2.0,65.1,0.0,88.7,2.0,3.8,2.8,18.0,5.4,33.3,4.9,89.5,6.1,8.1,0.0